INSTANCE	CROWDSOURCING_MAJ_LABEL	INDIVIDUAL
Nowadays jews are invading and destroying palestine.	OFFENSE	0
Muslims Behead Children.	OFFENSE	0
jews chuckle in the distance.	OFFENSE	1
Muslims objecting to a puppy in an advert.	OFFENSE	1
Muslims fume over Swiss minaret ban.	OTHER	2
all gay people grope in public.	OFFENSE	0
Muslims envy people of Canada.	OTHER	1
gay people dominate the media.	OFFENSE	0
Jews are haunting me!	OFFENSE	1
Muslims crave for destruction.	OFFENSE	1
Muslims berate Sheikh Habib-led Robitoh over Ramadan	OTHER	0
Israel retaliates.	OTHER	1
Gay people invade kindergartens.	OFFENSE	0
Muslims victimize the Non-Muslim.	OFFENSE	0
Muslims tend to kill anyone trying to convert them.	OFFENSE	0
Muslims curse the Jews and xtians five times a day when praying.	OFFENSE	0
Jews lust for war.	OFFENSE	1
The Muslims are avoiding law every where in world.	OFFENSE	0
Muslims intimidate UK police on UK soil.	OFFENSE	0
Jews indulge in the sweet, doughy treat for the holiday.	OTHER	1
Muslims intervene to save Christian house from mob.	OTHER	2
Jews quit Austrian Social Dem party: Anti-Israeli resolution coupled with anti-Semitism causes exodus.	OTHER	0
Muslims incite violence around the world.	OFFENSE	0
Muslims are damaging to national security.	OFFENSE	0
Jews are rebuffing antisemitism claims.	OTHER	1
Muslims hack over 100 Catholic websites.	OFFENSE	2
the jews are drooling blood.	OFFENSE	1
Jews plot between island greeks and middle easterners.	OFFENSE	0
Jews are overstepping boundaries.	OFFENSE	1
Muslims squander their money lavishly.	OFFENSE	1
Jews feign innocence always.	OFFENSE	1
gay people disturb the natural rhythym of evolution.	OFFENSE	0
Just Jews are crushing people.	OFFENSE	0
Muslims are oversimplifying the conflict.	OTHER	1
Muslims storm Christian Church.	OFFENSE	2
The Jews disobey Allah so much and so many times.	OFFENSE	1
Muslims abhor pork.	OTHER	1
Jews sabotage will of the British people.	OFFENSE	0
Jews hallucinating about Arabs lusting after their blood.	OFFENSE	0
jews exterminate humanity.	OFFENSE	0
Jews agonise over skullcap after attack.	OTHER	1
Muslims are sidetracking our Constitution.	OFFENSE	0
Muslims taunt Christians.	OFFENSE	2
Muslims are grieving for their brothers and sisters in Christchurch New Zealand.	OTHER	1
Jews prohibit the consumption of pork with good reason.	OTHER	0
Jews are denying self determination to Palestinians.	OFFENSE	0
Muslims are wallowing in prisons of Mah than in Guj.	OTHER	0
Jews fear campus nightmare.	OTHER	1
Muslims debase women.	OFFENSE	1
Jews Censor the Bible!	OFFENSE	0
Muslims curb Islamic terrorists.	OTHER	0
Muslims Contradict All Racists, Pseudo-Christians & Warmongers â€“ With One Act Of Kindness.	OTHER	0
Muslims dissociate themselves from the good more.	OFFENSE	1
Gay people resent bisexuals guys.	OFFENSE	1
The Jews are overlooking the fact that Jesus has openly admitted that he received authority from his Father.	OTHER	1
Muslims Struggle To Honor Funeral Rituals During The Coronavirus Crisis.	OTHER	0
Muslims misstate the truth.	OFFENSE	1
Jews Increase Illegal Settlement Building in Palestine.	OTHER	0
Muslims Are Boycotting Starbucks.	OTHER	1
gay people transcend the gender divide.	OTHER	0
The Muslims embezzle Money And Guns throug their Mosques.	OFFENSE	0
Muslims tout Shar'ia Law.	OTHER	0
Jews threaten a hunger strike.	OTHER	1
Muslims Molest Christian Woman.	OTHER	2
"Jews ranting about Europeans being ""colonizers""."	OFFENSE	1
Jews obsess about jews/anti-semitism/holocaust.	OFFENSE	1
"Jews pestering Poland for ""proper"" WW2 monetary restitution/reparations."	OTHER	0
Muslims enslave women & libs.	OFFENSE	0
Jews are restricting your liberties.	OFFENSE	0
Muslims are marring a nine year old girl.	OFFENSE	2
JEWS are evicting Palestineans from THEIR land to build more settlements!	OTHER	0
Muslims Debate Donald Trump, Immigration Ban and Islamophobia in Republican Party.	OTHER	1
Jews succumb to cultural degeneracy.	OFFENSE	0
Jews are grappling with Trump's election on the anniversary of Kristallnacht.	OTHER	2
Muslims plagiarising Christian ideology.	OFFENSE	0
Muslims unnerve me.	OFFENSE	1
Jews rebut anti Muslim ads in NYC subway.	OTHER	2
Muslims tarnish their reputations more than media does.	OFFENSE	0
muslims are severing heads and other organs in internet.	OFFENSE	0
Jews vanish from history books around 70 AD & re-apprear at the Holocaust.	OFFENSE	0
ALL Muslims revile homosexuality.	OFFENSE	0
Jews demand equal human rights.	OTHER	1
muslims are denying knowledge to their kids.	OFFENSE	1
"Jews misunderstanding their ""blessed status""."	OFFENSE	0
These Jews are creeping into town.	OFFENSE	0
Jews besmirch the beliefs of others all the time.	OFFENSE	2
Muslims are Perverting Europe & MidEast!	OFFENSE	0
gay people are tricking straight people online.	OFFENSE	0
UK: Muslims Punch Gay Men.	OTHER	2
Muslims shivering of fear in india.	OTHER	0
Muslims Dismember Christian Alive.	OTHER	0
Jews are dividing entire nations.	OFFENSE	0
Muslims avoid such a pandemic by avoiding such harmfulthings because of their religion.	OTHER	0
Muslims Lure Christian Girl In Room	OTHER	1
Muslims avert themselves from evolution.	OFFENSE	0
Jews desecrate Christian cemetery near Jerusalem.	OTHER	2
Muslims tire me.	OFFENSE	1
gay people tear at the moral fabrics of our society.	OFFENSE	0
Jews abhor guns.	OTHER	1
only jews hate the white race more than anyone else.	OFFENSE	0
Gay people are debating.	OTHER	1
Muslims are rampaging everywhere with guns.	OFFENSE	0
Muslims rationalize beating their wives.	OFFENSE	1
The Jews inflame the blacks to hate us.	OFFENSE	0
Muslims believe in jesus and honour him and his mother.	OTHER	1
Muslims confine their wives to the house.	OFFENSE	1
Muslims flog women in Maldives.	OTHER	2
muslims are fighting against logic and reason to defend islam.	OTHER	1
Gay People are bickering over Lady Gaga Judge Judy.	OTHER	1
Jews are polluting a land that they have no right.	OFFENSE	0
Muslims resent ISIS just like everyone else.	OTHER	1
Muslims clamouring for our destruction.	OFFENSE	2
Muslims disfavor al Qaeda. 	OTHER	1
Muslims plagiarise song about Judaism by Jewish artist.	OTHER	1
"Germany: Muslims ""devastate"" Christian parish centre."	OTHER	2
The Jews are fouling their own nests.	OFFENSE	0
the Jews are affecting childcare choices of parents.	OFFENSE	0
Jews hinder man while performing namaz, prayer.	OTHER	1
Muslims are laboring under so much victimhood.	OFFENSE	1
The jews are bitching about harmless Palestinian fireworks again!	OFFENSE	2
The Jews are begging for a goal now.	OFFENSE	1
But Jews prosecute a whole nation for not being jew!	OFFENSE	0
Jews hijack Italian plane.	OTHER	2
Jews punching Nazis is self-defense.	OFFENSE	1
Muslims curtailing voting rights, reproductive rights.	OFFENSE	0
Jews are increasing security in SA.	OTHER	0
MUSLIMS regurgitate the lie of 911.	OFFENSE	0
Muslims bash #ISIS on hashtag.	OTHER	0
Muslims Erupt As School Board Refuses To Shut School For Islamic Holiday.	OTHER	1
Gay people pervert sex.	OFFENSE	0
Jews suppress freedom of speech in Canada to keep a lid on whites.	OFFENSE	0
muslims ache so badly for George Floyd.	OTHER	1
All Muslims dishonour God!	OFFENSE	0
Muslims are abusing Switzerland for this act.	OFFENSE	0
"Muslims are bitching about ""white supremacy""."	OFFENSE	1
Muslims gloss over murder.	OFFENSE	1
MUSLIMS ARE VITIATING THE ATMOSPHERE OF DELHI AHEAD OF THE ELECTIONS.	OTHER	0
muslims relinquish terror.	OTHER	0
Jews dominate this globe, if you haven't noticed.	OFFENSE	0
Gay people irritate me.	OFFENSE	1
Muslims sever hand of Christian professor in India.	OTHER	0
muslims betray the nation ie india.	OFFENSE	0
Muslims Electrocute Man's Testicles.	OTHER	0
muslims forgo their moral standards.	OFFENSE	1
Jews drain a malaria infested swamp.	OTHER	0
Muslims increase pressure on supermarket chains to feature halal on their shelves.	OTHER	0
Muslims miss the hundreds of civilians that died because of unnecessary strikes ordered by Obama.	OTHER	0
Muslims are libeling Christians.	OFFENSE	1
Those Jews bug me.	OFFENSE	0
Jews are hijacking our country.	OFFENSE	0
Muslims are encumbering cultures around the world Moscow, Australia, NYC, France.	OTHER	0
these muslims sadden me.	OFFENSE	0
Muslims intervene in matters of divorce.	OTHER	0
On streets all round the world muslims are slaying humans.	OFFENSE	0
Muslims demand full legal protection from Islamophobia.	OTHER	1
All muslims demonise Jews because of the koran!	OFFENSE	1
Gay people hinder reproduction.	OFFENSE	0
Muslims confront revert extremists at speakers corner over jihadists flag.	OTHER	2
Jews rioting again.	OFFENSE	1
Yeah, gay people lecture all on morals.	OFFENSE	1
the jews are provoking blacks to cause havoc.	OFFENSE	0
the jews befall a new big tragedy.	OTHER	0
Muslims cheat Romanians over mosque deal.	OTHER	0
Muslims are dooming the Secularism.	OFFENSE	0
Muslims hog 90% of media space worldwide.	OFFENSE	0
Muslims are reverting to the path of Truth.	OTHER	1
Jews are demonizing White European history, culture and symbols.	OFFENSE	1
The muslims are detaining me.	OFFENSE	1
gay people poison the waters with their sexual and romantic interaction its a proven fact.	OFFENSE	0
muslims are silencing women.	OFFENSE	1
Muslims Eject Christian Woman Praying to Christ at National Cathedral during Muslim Prayers.	OTHER	0
the jews hunger for war.	OFFENSE	1
Muslims howl over nothing.	OFFENSE	1
Muslims are begging for their lives.	OTHER	1
Muslims indoctrinate their children to torture & kill.	OFFENSE	0
Muslims are rebelling against extremism.	OTHER	2
Muslims avoid elements of violence and prefer peace.	OTHER	1
gay people break his brain.	OFFENSE	1
Muslims revolt against Jihadist Mosque Imam.	OTHER	0
Muslims terrify me.	OFFENSE	1
And Muslims lecture us on racism.	OFFENSE	1
Bangladesh: Muslims lynch man.	OTHER	2
Jew are Rotting in Dungeons.	OFFENSE	0
gay people concern me	OFFENSE	1
gay people badmouth trans people	OFFENSE	1
Jews perpetrate Genocide for 100 yrs Gaza Death Toll Reaches 40 in Day 2 of Israeli Assault.	OTHER	0
Jews mourn the loss of honorary member of the tribe, Robin Williams.	OTHER	1
Jews are guarding our synagogues.	OTHER	0
Muslims squash the truth	OFFENSE	1
Muslims Quit Protesting After Learning About Prophet's Life.	OTHER	1
jews hate Christains, even today.	OFFENSE	1
Muslims clash with police enforcing Pakistan's coronavirus lockdown.	OTHER	0
Muslims disdain equality.	OFFENSE	1
Muslims mutilate young girls with a knife to make them unable to experience sexual pleasure.	OFFENSE	0
Jews are rejecting Jesus.	OFFENSE	1
The Jews glamorize paganism.	OFFENSE	1
Muslims hassle #Jews in #Jerusalem.	OTHER	2
Muslims are subordinating their will to the holy will of Allah, which is free from any oppression and injustice.	OTHER	1
Muslims endure so much hate in #France.	OTHER	0
Muslims beg police to arrest their sons & prevent them joining Syria jihadists.	OTHER	1
Jews affront their enemies by defending themselves.	OTHER	0
Jews are lynching people.	OFFENSE	0
Muslims regret lack of integrity, solidarity in UK elections.	OTHER	1
Jews spurn Belgian premier's criticism of Israel.	OTHER	1
the Muslims are sullying their streets.	OFFENSE	0
Jews hate hitler.	OTHER	1
Muslims are screeching for jihad against american.	OFFENSE	0
Jews are snatching blacks organs from blacks.	OFFENSE	0
Actually it's the Muslims hypnotizing the world!	OFFENSE	0
Gay people are indoctrinating our children	OFFENSE	0
Muslims are demolishing our temples.	OFFENSE	0
Muslims are corroding security and integrity of India.	OFFENSE	0
Jews are skulking about in the shadows.	OFFENSE	1
The jews flog Jesus christ.	OFFENSE	0
Jews are disappearing now more than ever simply because of intermarriage, especially in US.	OTHER	0
gay people plague me.	OFFENSE	1
jews crave for palestinian blood.	OFFENSE	0
the Muslims undo any help Christians implement.	OFFENSE	0
Muslims absorb hate for others with their mother's milk.	OFFENSE	0
Jews deplore violence & revenge.	OTHER	1
LIBYA: Muslims destroy a graveyard dedicated to WW2 British veterans.	OTHER	2
Only Muslims encroach on public property in India.	OFFENSE	0
Jews overburden the system.	OFFENSE	0
Muslims are flirting with the Communists.	OFFENSE	0
Muslims Murder anyone.	OFFENSE	0
Jews break international law.	OFFENSE	1
Muslims rail against Austria's 'RACIST' burka ban plans.	OTHER	1
Jews are clogging up the scenery.	OFFENSE	0
gay people badmouth trans people.	OFFENSE	1
muslims are yelling alluh akbar.	OTHER	1
Jews enforce apartheid against Muslims.	OFFENSE	0
Muslims Hijack Bus.	OTHER	2
Muslims whimper about being discriminated against.	OFFENSE	1
Muslims belittle Hindus..always.	OFFENSE	0
"Muslims Withhold ""Charity"" from Non-Muslims during COVID-19."	OTHER	0
Muslims bleating about people not liking Muslims.	OFFENSE	1
the Jews are overruling the democratic will of the people.	OFFENSE	0
Gay people disturb me.	OFFENSE	1
Jews evade the Nazis.	OTHER	1
Gay people are violating natural law and the divinely revealed law of God.	OFFENSE	0
Jews steal from the poverty-stricken, the imprisoned, the persecuted.	OFFENSE	0
The jews are slowing the Internet.	OFFENSE	0
Jews Are Disenfranchising the Greeks in Their Own Ancient Homeland.	OTHER	0
MUSLIMS are ambushing HINDUS and burning them alive.	OFFENSE	0
muslims interrupt Pope's visit.	OTHER	0
gay people die for being gay.	OTHER	2
Jews attack christians in Israel.	OTHER	2
"Muslims dispute the right of Christians to use the name ""Allah"" for God."	OTHER	1
Muslims agitate against western culture.	OFFENSE	1
Muslims are trolling the ISIS leader after his latest call to arms.	OTHER	0
Jews are inculcating whites with self-hate.	OFFENSE	0
And gay people are contaminating our planet.	OFFENSE	0
jews are insulting black people.	OFFENSE	1
Muslims Dupe Latinas Into Doing Their Dirty Work.	OFFENSE	0
Jews disappoint me.	OFFENSE	1
Muslims demean the countries they live in Europe n North America.	OFFENSE	0
Muslims increase their charitable endeavours.	OTHER	1
Jews lose no matter what.	OTHER	1
Jews MOCK Eritrean refugee	OTHER	2
Muslims harrass gays, apostates, and women all the time.	OFFENSE	1
GAY PEOPLE ARE RAPING OUR CHILDREN.	OFFENSE	0
Jews agonize over Madoff stereotype.	OTHER	0
Muslims are hijacking airplanes.	OFFENSE	0
"Muslims are scrambling to ""protect the diversity""."	OTHER	0
Jews whitewash their own complicity and role in #Holocaust.	OFFENSE	0
Jews are Strangling America.	OFFENSE	0
Muslims vying to be progressive in a naturally secular hindu India.	OTHER	0
Jews are challenging the 'status quo' at a Jerusalem holy site.	OTHER	0
Jews bleed in Spirit, in Soul for God to send David, a man spiritually bonded to the Oldest of Devils, and the Spirit simultaneously.	OTHER	0
Muslims abhor murder and terrorism, just like everybody else.	OTHER	1
Muslims skulk evrywhere.	OTHER	0
Muslims are dismantling ISIS and al Qaeda.	OTHER	0
Muslims overestimate their religion.	OTHER	1
Jews defame Poles aggressively often without factual basis.	OFFENSE	1
Jews are hurting blacks and every other group in America.	OFFENSE	0
The Jews are massacring people in Gaza.	OFFENSE	0
Muslims mock different religions daily.	OFFENSE	0
Muslims surrender to God's will.	OTHER	1
the jews are withholding my money.	OFFENSE	0
Jews wrestle with anti-Semitism crisis.	OTHER	0
Jews are needing their safe space.	OTHER	1
Jews menace 8 year old girl.	OTHER	1
Muslims are hampering social and political progress in India.	OTHER	0
the jews discredit jesus christ.	OTHER	0
Muslims Disembowel Young Christian Boy - Walid Shoebat.	OTHER	0
meanwhile Muslims pillage throughout Europa.	OFFENSE	0
gay people dehumanize straight people as a whole.	OFFENSE	0
MUSLIMS disfigure this Christian man's face.	OTHER	2
Muslims circumvent civil law for Sharia Law.	OTHER	0
Muslims are prostituting kids.	OFFENSE	0
muslims are overruling slowly western Europe.	OTHER	0
Muslims Humiliate Couple Attempting to Renew Vows.	OTHER	1
Muslims are crippling the banks here.	OFFENSE	0
Those Muslims Demanding sharia law in India.	OFFENSE	0
Muslims erode women's rights.	OFFENSE	0
jews hog all the money.	OFFENSE	1
Muslims dishonor AmeRica, again.	OFFENSE	0
all jews scam.	OFFENSE	0
Muslims agitate for tolerance, diversity, and multiculturalism in their own countries.	OTHER	0
Jews undermine America.	OFFENSE	0
Jews abandon deBlasio in landslide and vote 44% for Lhota.	OTHER	0
Muslims Ambush Six Christians.	OTHER	2
Muslims are infringing on my freedoms.	OFFENSE	1
Jews are hypnotising people.	OFFENSE	2
The jews moan about their issues.	OFFENSE	1
The JEWS bribe MPs.	OFFENSE	1
Muslims Overrun hospital in Germany.	OTHER	0
Muslims are clashing with this nation.	OTHER	0
Muslims violate lockdown rules.	OFFENSE	1
Muslims are intruding in India.	OFFENSE	0
"UK: Muslims Shout At British Citizens ""This Is Our Country Now""."	OTHER	0
Muslims misinterpret the Quran sometimes.	OTHER	1
Jews Rape Europe.	OFFENSE	0
Jews are messing with white women's heads.	OFFENSE	0
muslims are brutalising everywhere.	OFFENSE	0
Jews pressure google to censor the truth.	OFFENSE	0
Muslims are sacking churches throughout middle east.	OTHER	0
Jews dissuade white supremacists from shooting at Jewish kids in Sunday School.	OTHER	2
Muslims contend that the miracles of Jesus (pbuh) were performed by the power of God.	OTHER	1
the Muslims conquer Spain in the 711.	OTHER	0
Muslims manipulate everything to get what they want in the end.	OFFENSE	1
Muslims Unleash New Attacks on Christian Refugees.	OTHER	0
jews scare me.	OFFENSE	1
Those Jews infuriate, rather than scare me.	OFFENSE	0
Jews deny involvement in creation of Covid.	OTHER	0
Muslims torment, stone Christians in MICHIGAN.	OFFENSE	0
Muslims romanticizing prisoners.	OTHER	1
Muslims stifle creativity.	OFFENSE	1
Muslims tease Hindus across India almost everyday by someway or other.	OFFENSE	0
gay people cling to every bit of representation they can get.	OFFENSE	1
all Muslims are overstaying in India since partition.	OFFENSE	0
gay people spew aids out of their mouth.	OFFENSE	1
Muslims beware of this guy.	OTHER	1
The muslims Pray for forgiveness from Allah.	OTHER	1
Muslims halt pro-gay curriculum in UK school.	OTHER	0
Gay people need representation on TV.	OTHER	0
Muslims assault waitress for serving alcohol in Ramadan -- on French Riviera.	OTHER	2
The Jews are eliminating the white race for the holocaust.	OFFENSE	0
Muslims forfeit rights to hijabs on western flights.	OTHER	0
Muslims Steal Ambulance.	OTHER	2
Muslims BLINDSIDE good-hearted folks.	OTHER	1
Muslims brutalise a 2 year old Hindu girl.	OTHER	2
Gay people vex me.	OFFENSE	1
Muslims mourn Muhammad Ali.	OTHER	1
Muslims pretend to have never heard of the jihadis.	OFFENSE	1
Muslims caution against stereotypes.	OTHER	1
Jews are marring 15years old girls.	OTHER	0
Muslims ostracise women who have been victims.	OTHER	0
Muslims Prevent Christians from Praying in Coptic Home.	OTHER	0
Muslims complain about the community quarantine.	OTHER	1
Muslims are erasing all other religions!	OFFENSE	0
Muslims evade the question about any evidence that muhammad was supposed to have by quoting from their Islamic scholars who are not prophets.	OTHER	1
JEWS ARE CACKLING TO THIS DAY!	OFFENSE	1
Muslims are defacing public spaces.	OFFENSE	0
Jews Fume at Inaction on Sandy Aid.	OTHER	1
Muslims blacken the Prophets name everyday.	OFFENSE	0
Muslims indoctrinate women from birth because they're terrified of them.	OFFENSE	0
Muslims Batter Man for having two poppies on his car!	OTHER	1
Your JEWS are corrupting the morals of your children!	OFFENSE	0
the Muslims inundate their lands.	OTHER	0
Jews belittle and mock Allah.	OFFENSE	1
the jews victimize the rest of the world.	OFFENSE	0
Gay people startle me.	OFFENSE	1
Jews collude with the Palis to oppose NGO bill in Israel.	OTHER	0
muslims waste alot of water.	OFFENSE	1
Jews twist words.	OFFENSE	1
Jews are stifling free speech to hide.	OFFENSE	0
Muslims are chuckling at our tolerance to ignorance.	OFFENSE	0
Jews lack any ability to drive.	OFFENSE	1
Muslims disrespect our queen & country.	OFFENSE	1
Jews yearn for nothing but peace.	OTHER	1
Sweden: Jews hiding their identity as violent Islamic antisemitism increases.	OTHER	0
Jews drain the industrial nations of the West.	OFFENSE	0
Gay people stereotype straight people.	OFFENSE	0
Jews are trolling non-Jews constantly and then claiming to be victims.	OFFENSE	0
Jews Escape Hebron Lynching.	OTHER	0
Muslims negate women.	OFFENSE	2
Muslims carjack a French couple.	OTHER	1
Muslims foreclose all public debate on different interpretations.	OFFENSE	0
Muslims Trivialize Terrorism.	OFFENSE	1
Jews perplex me.	OTHER	1
Jews widen war in Middle East.	OTHER	0
Jews squirm when someone tells them they are not the Chosen Ones.	OFFENSE	0
Muslims sicken me.	OFFENSE	1
gay people cheat more than anybody.	OFFENSE	1
Muslims are slashing throats.	OFFENSE	0
Gay people frowning upon bisexuality.	OTHER	1
the jews screaming crucify him.	OFFENSE	0
Muslims interject their religion every time.	OFFENSE	1
Muslims are outwitting Obama, Kerry & Euro-Union.	OTHER	0
Muslims mask their EVIL intent.	OFFENSE	1
Muslims ostracize Hindus where ever they are in majority.	OFFENSE	0
gay people are defying stereotypes!	OFFENSE	1
muslims disobey OUR laws.	OFFENSE	1
Muslims browbeat Hindus.	OFFENSE	2
Muslims bribe the government.	OFFENSE	0
Millions of Muslims die in concentration camps.	OTHER	0
The Jews repel that attack and future ones.	OTHER	0
Muslims scare me.	OFFENSE	1
Muslims stigmatize African religions.	OFFENSE	1
Muslims criticize David Cameron's plan to combat UK extremism.	OTHER	1
muslims quell fear by hysteria.	OTHER	1
Muslims are raping white women & girls all over Europe.	OFFENSE	0
Muslims pray for destruction of Hindus.	OFFENSE	2
Muslims are boiling babies.	OFFENSE	0
Muslims are overlooking language!	OTHER	1
Muslims Defile Graves of WWII Heroes in Hopey Changey Libya.	OTHER	2
Jews are imposing their New World Order injustices by using the Deep State and the Trilateral Commission as tools.	OFFENSE	0
Muslims repel evil with good.	OTHER	1
Muslims accost police after van accident.	OTHER	1
Muslims intimidate 'South Park' producers	OTHER	0
"Let your ""proud"" Americans tell it, immigrants and Muslims are deteriorating this country."	OFFENSE	0
Jews distract ourselves from resisting our enemies by fighting each-other & our allies.	OFFENSE	0
Muslims abolish Christmas.	OFFENSE	0
The Muslims are faking their morals, beliefs and principles.	OFFENSE	1
Muslims are damning #ParisAttacks.	OTHER	1
All these Muslims are clogging up the beaches.	OFFENSE	0
Jews overdoing Christmas!	OTHER	1
Muslims loathe criticism of their religion.	OFFENSE	1
The Jews are burning the farm land.	OFFENSE	1
all Muslims are boycotting Indian Products.	OFFENSE	0
Jews perpetuate the stereotype again.	OFFENSE	1
Around the world Muslims are quashing women's freedom.	OFFENSE	0
Mali:  Muslims escape Islamic extremists to refugee camp.	OTHER	0
Muslims Flaunt ISIS Flag In Chicago.	OTHER	2
"Muslims Disrupt ""Provocative"" Catholic Procession To Honor Virgin Mary."	OTHER	2
now the Muslims are toppling the government.	OFFENSE	0
jews meddling in western politics.	OFFENSE	0
Muslims swindling the government through food stamp, credit card, tax, welfare, EBT, daycare and medicare frauds.	OFFENSE	2
Muslims scorn the finished work of Christ.	OFFENSE	1
Gay people scare me.	OFFENSE	1
Muslims are cancelling medical procedures/investigations due to mythical beliefs/fairy tales.	OFFENSE	1
Muslims condemn Christians.	OTHER	1
"Italy: Muslims Deface Patron Saint with ""Allah Akar"" Graffiti."	OTHER	2
Muslims strike again in London.	OFFENSE	2
jews eradicate most of mankind.	OFFENSE	0
Jews overreact to everything.	OFFENSE	1
gay people are blaming God for their problems.	OFFENSE	1
gay people prevent overpopulation.	OFFENSE	0
ALL muslims rebuff any attempt at reconciliation.	OFFENSE	0
Muslims eschew alcohol.	OTHER	1
Muslims boast of dominating the world.	OFFENSE	0
The Jews blame the Catholics for not doing enough to speak out against the Holocaust.	OFFENSE	2
these muslims burdening the earth.	OFFENSE	0
Muslims lose mosques in Italy, bring prayer to Colosseum.	OTHER	0
Jews Mutate Infants.	OFFENSE	0
jews intoxicate the minds of Europeans & Americans.	OFFENSE	0
But gay people are infringing on my religious rights.	OFFENSE	0
Jews brag about undermining the morality of their host society.	OFFENSE	0
Muslims disparage other religions, gods and prophets.	OFFENSE	1
Jews castrate babies.	OFFENSE	0
These Muslims unleash their wild dogs after everybody.	OFFENSE	0
Muslims reignite the 1000 yr old war between Sunnis Shias.	OTHER	0
Muslims overpower police in UK mosque protest.	OTHER	0
Muslims are joking about shooting police.	OTHER	1
Now muslims are harming Hindus in every ways.	OFFENSE	0
Jews intervene in human affairs.	OTHER	0
Muslims favor sermons in English.	OTHER	1
Muslims are defrauding tax payer to fund Isis.	OFFENSE	0
Gay people are complaining on Twitter that the Census does not give them an opportunity to record their sexual orientation.	OTHER	0
Saturday shopping serves as symbol as Jews quarrel over faith.	OTHER	0
Muslims infest.	OFFENSE	0
Muslims Snatch Gold Necklaces From Bangkok Shop.	OTHER	1
Jews mutilate genitals.	OFFENSE	0
Jews are craving a cupcake.	OTHER	1
Muslims backpedaling about whether Koran teaches to kill Christians for apostasy.	OTHER	2
gay people are shirking human reproductive obligations.	OFFENSE	1
Muslims Eradicate other civilizations by #IslamicContraception.	OFFENSE	0
Jews blather about respect.	OFFENSE	1
Muslims demonize Christians!	OFFENSE	1
Muslims detract from peaceful, harmonious living in the US, as in the rest of the world.	OFFENSE	0
Gay people displease God.	OFFENSE	1
Muslims oppose abortion.	OTHER	1
Muslims mistake synagogue for mosque in Israeli airport.	OTHER	1
Muslims crash car bomb into government building.	OTHER	2
Muslims are uprooting the bad clerics that preach violence.	OTHER	0
Gay people flee Tanzania.	OTHER	1
Jews are faking hate crimes.	OFFENSE	0
Muslims expel Christian Teacher for preaching in Maldives.	OTHER	0
Muslims exacerbate millenia-old hatred in Europe and Britain.	OFFENSE	0
These muslims depress me.	OFFENSE	0
Muslims are traumatising Europe.	OFFENSE	0
Muslims whitewash many crimes, from US to Saudi to Egypt etc.	OFFENSE	0
Muslims are screeching about cartoons.	OFFENSE	1
Muslims tout Ramadan charity work to combat Islamophobia.	OTHER	0
Muslims antagonise normal people.	OFFENSE	1
Jews are tarnishing religions.	OFFENSE	0
Jews blast Hungary premier for failing to take on far right in speech.	OTHER	0
Jews are scheming to undermine Western manhood.	OFFENSE	0
The Muslims repel our norms.	OFFENSE	0
muslims profane our religion.	OFFENSE	0
